activity_id,deal_id,activity_type,activity_date,notes,orphaned_deal
A00001,D0357,follow_up,2026-01-27,"Really appreciate the detailed proposal, excited to move forward.",False
A00002,D0163,email,2025-05-12,"Not happy with the delay, please escalate.",False
A00003,D0779,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00004,D0539,note,2026-02-05,"Really appreciate the detailed proposal, excited to move forward.",False
A00005,D0039,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00006,D0716,unknown,,we may have to look at other vendors if this isn't resolved.,False
A00007,D0449,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00008,D0197,call,,Following up on our last conversation regarding pricing.,False
A00009,D0006,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00010,D0699,follow_up,2025-08-12,"Not happy with the delay, please escalate.",False
A00011,D0573,email,2026-07-17,"This is taking longer than expected, we need an update ASAP.",False
A00012,D0583,call,,please find attached the requested documents.,False
A00013,D0053,follow_up,,Following up on our last conversation regarding pricing.,False
A00014,D0849,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00015,D0295,call,,We may have to look at other vendors if this isn't resolved.,False
A00016,D0409,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00017,D0270,call,,"This is taking longer than expected, we need an update ASAP.",False
A00018,D0784,call,,Can we schedule a call sometime next week?,False
A00019,D0900,call,,,False
A00020,D0427,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00021,D0741,call,2026-03-24,We may have to look at other vendors if this isn't resolved.,False
A00022,D0490,meeting,2026-01-06,,False
A00023,D0801,email,2026-06-10,,False
A00024,D0785,note,2025-12-30,"This is taking longer than expected, we need an update ASAP.",False
A00025,D0121,follow_up,,can we schedule a call sometime next week?,False
A00026,D0060,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00027,D0726,follow_up,,,False
A00028,D0130,unknown,,Can we schedule a call sometime next week?,False
A00029,D0251,meeting,2026-02-07,"Not happy with the delay, please escalate.",False
A00030,D0079,meeting,2026-10-03,"Not happy with the delay, please escalate.",False
A00031,D0595,email,,Can we schedule a call sometime next week?,False
A00032,D0670,email,,Can we schedule a call sometime next week?,False
A00033,D0056,meeting,,"Not happy with the delay, please escalate.",False
A00034,D0141,follow_up,,following up on our last conversation regarding pricing.,False
A00035,D0807,email,,Following up on our last conversation regarding pricing.,False
A00036,D0465,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00037,D0308,call,,"This is taking longer than expected, we need an update ASAP.",False
A00038,D0394,unknown,,Following up on our last conversation regarding pricing.,False
A00039,D0546,call,,We may have to look at other vendors if this isn't resolved.,False
A00040,D0624,meeting,,Following up on our last conversation regarding pricing.,False
