activity_id,deal_id,activity_type,activity_date,notes
A00001,D0357,Follow Up,27/01/2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00002,D0163,email,2025-12-05,"Not happy with the delay, please escalate."
A00003,D0779,email,05/29/2026,"Really appreciate the detailed proposal, excited to move forward."
A00004,D0539,note,05/02/2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00005,D0039,Call,15-03-2026,"Thanks so much for the quick turnaround, this looks great!"
A00006,D0716,,2026/03/12,we may have to look at other vendors if this isn't resolved.
A00007,D0449,meeting,07/24/2026,"This is taking longer than expected, we need an update ASAP."
A00008,D0197,Call,2026-04-14,FOLLOWING UP ON OUR LAST CONVERSATION REGARDING PRICING.
A00009,D0006,Meeting,2026/04/23,We may have to look at other vendors if this isn't resolved.
A00010,D0699,follow-up,12/08/2025,"Not happy with the delay, please escalate."
A00011,D0573,EMAIL,17/07/2026,"This is taking longer than expected, we need an update ASAP."
A00012,D0583,Call,2026/07/10,please find attached the requested documents.
A00013,D0053,Follow Up,2026-02-13,Following up on our last conversation regarding pricing.
A00014,D0849,meeting,30-03-2026,"Really appreciate the detailed proposal, excited to move forward."
A00015,D0295,Call,03/28/2026,We may have to look at other vendors if this isn't resolved.
A00016,D0409,Follow Up,N/A,"Really appreciate the detailed proposal, excited to move forward."
A00017,D0270,call,,"This is taking longer than expected, we need an update ASAP."
A00018,D0784,call,2026/01/02,Can we schedule a call sometime next week?
A00019,D0900,call,2025-11-23,
A00020,D0427,Follow Up,2026-05-15,We may have to look at other vendors if this isn't resolved.
A00021,D0741,call,24/03/2026,  We may have to look at other vendors if this isn't resolved.   
A00022,D0490,meeting,06/01/2026,
A00023,D0801,email,10/06/2026,
A00024,D0785,note,30/12/2025,"This is taking longer than expected, we need an update ASAP."
A00025,D0121,Follow Up,24-11-2025,can we schedule a call sometime next week?
A00026,D0060,email,2026/02/07,"  Thanks so much for the quick turnaround, this looks great!   "
A00027,D0726,follow-up,2025-12-26,
A00028,D0130,,2026-06-21,Can we schedule a call sometime next week?
A00029,D0251,meeting,07/02/2026,"Not happy with the delay, please escalate."
A00030,D0079,meeting,03/10/2026,"Not happy with the delay, please escalate."
A00031,D0595,email,07-12-2025,Can we schedule a call sometime next week?
A00032,D0670,email,30-11-2025,Can we schedule a call sometime next week?
A00033,D0056,Meeting,2026/07/08,"Not happy with the delay, please escalate."
A00034,D0141,follow-up,2026/02/07,following up on our last conversation regarding pricing.
A00035,D0807,EMAIL,,Following up on our last conversation regarding pricing.
